timestamp,x,y,angle,speed,lateral_offset,steering_input,acceleration_input,nearest_hazard_type,nearest_hazard_distance,target_path_x,target_path_y,current_path_segment
1747503010.1096804,1673.6623061496414,477.2764106838343,22.28174378669064,1.0,-0.35377325351997835,22.28174378669064,1.0,speedbreaker,130.50688175402865,1600.0,450.0,1
1747503010.1258793,1674.5511277787011,477.6391724675376,22.202232217245893,1.0,-0.32486326796982934,-0.07951156944474747,0.0,speedbreaker,129.55555835309247,1600.0,450.0,1
1747503010.141591,1675.4404516392976,478.0007012644177,22.122773106329443,1.0,-0.2972849347349734,-0.07945911091644575,0.0,speedbreaker,128.6041842530452,1600.0,450.0,1
1747503010.157643,1676.3302733291218,478.36100302727544,22.043742068494627,1.0,-0.27103742830402866,-0.07903103783482379,0.0,speedbreaker,127.6527611306931,1600.0,450.0,1
1747503010.1741576,1677.2205863661288,478.72008894475977,21.965475186157928,1.0,-0.2461136291419119,-0.07826688233669188,0.0,speedbreaker,126.70129142159907,1600.0,450.0,1
1747503010.1897178,1678.1113824491238,479.0779748742415,21.888271339588766,1.0,-0.22250078499212533,-0.07720384656914803,0.0,speedbreaker,125.74977823575603,1600.0,450.0,1
1747503010.2053907,1679.0026516995376,479.4346808081237,21.812394483057638,1.0,-0.200181133391597,-0.0758768565311243,0.0,speedbreaker,124.79822528002828,1600.0,450.0,1
1747503010.2213438,1679.8943828849715,479.79023037277625,21.73807586170804,1.0,-0.1791324862728399,-0.07431862134959033,0.0,speedbreaker,123.8466367872449,1600.0,450.0,1
1747503010.2378721,1680.7865636251804,480.14465035923325,21.665516164501863,1.0,-0.15932877761787878,-0.07255969720617372,0.0,speedbreaker,122.8950174517486,1600.0,450.0,1
1747503010.2538104,1681.6791805812343,480.4979702847468,21.594887609324793,1.0,-0.14074057520564706,-0.07062855517708044,0.0,speedbreaker,121.9433723711455,1600.0,450.0,1
1747503010.270271,1682.5722196286438,480.85022198424866,21.52633595702637,1.0,-0.12333555756055549,-0.06855165229842441,0.0,speedbreaker,120.99170699395499,1600.0,450.0,1
1747503010.286061,1683.4656660152673,481.20143923073476,21.45998245181232,1.0,-0.10707895726797398,-0.06635350521403893,0.0,speedbreaker,120.04002707283223,1600.0,450.0,1
1747503010.3017728,1684.359504504836,481.551657383556,21.39592568600195,1.0,-0.09193397186348479,-0.06405676581036346,0.0,speedbreaker,119.08833862301397,1600.0,450.0,1
1747503010.317753,1685.1978310693032,481.8790845835693,21.334243387714423,1.0,-0.07786214354419921,-0.06168229828753624,0.0,speedbreaker,118.19612461942351,1600.0,450.0,1
1747503010.3336084,1686.0924053373708,482.2274190190064,21.27522758034345,1.0,-0.06563861113273493,-0.05901580737096879,0.0,speedbreaker,117.24443004327193,1600.0,450.0,1
1747503010.3496199,1686.9873230681924,482.5748701019822,21.218661399799277,1.0,-0.05358891144121754,-0.0565661805441664,0.0,speedbreaker,116.29274653741855,1600.0,450.0,1
1747503010.3661268,1687.9385212449997,482.9431390640716,21.164571368971597,1.0,-0.04248691825751508,-0.05409003082769459,0.0,speedbreaker,115.28160627118079,1600.0,450.0,1
1747503010.382275,1688.8340794878861,483.28893587377087,21.1127869269483,1.0,-0.03165392133342856,-0.05178444202329047,0.0,speedbreaker,114.3299734543009,1600.0,450.0,1
1747503010.3981278,1689.7299348085448,483.63396231398576,21.063508615900712,1.0,-0.02232577128673787,-0.049278311047601164,0.0,speedbreaker,113.37837192598991,1600.0,450.0,1
1747503010.4137313,1690.626071570277,483.97825710667405,21.01672234552777,1.0,-0.013823251635709409,-0.046786270372933814,0.0,speedbreaker,112.42680873953746,1600.0,450.0,1
1747503010.4295669,1691.5224743794247,484.32185862551825,20.97240347638891,1.0,-0.006104615469919428,-0.04431886913886274,0.0,speedbreaker,111.47529102545751,1600.0,450.0,1
1747503010.4456155,1692.4191281353426,484.6648047466487,20.9305179921749,1.0,0.0008714726835141458,-0.04188548421402061,0.0,speedbreaker,110.52382598193601,1600.0,450.0,1
1747503010.4614372,1693.3160180734455,485.0071327164815,20.891023599957684,1.0,0.00714577954110205,-0.03949439221722173,0.0,speedbreaker,109.5724208674654,1600.0,450.0,1
1747503010.4775517,1694.2131298019096,485.34887903563117,20.853870760305085,1.0,0.01275836420077289,-0.03715283965260596,0.0,speedbreaker,108.62108299546439,1600.0,450.0,1
1747503010.4940543,1695.166531803231,485.7114043780229,20.819003649298924,1.0,0.01774845655978799,-0.03486711100615025,0.0,speedbreaker,107.6103709288789,1600.0,450.0,1
1747503010.510175,1696.0640460462275,486.0520921876351,20.78628216746898,1.0,0.02242972032815882,-0.03272148182995238,0.0,speedbreaker,106.65919938228603,1600.0,450.0,1
1747503010.526802,1696.9617418422422,486.39230132598607,20.755727701089103,1.0,0.02628736703456258,-0.030554466379868472,0.0,speedbreaker,105.70811738399178,1600.0,450.0,1
1747503010.5424204,1697.8596065015547,486.7320645576011,20.72727020925176,1.0,0.029633072352116176,-0.028457491837343696,0.0,speedbreaker,104.75713247206077,1600.0,450.0,1
1747503010.5585878,1698.757627816329,487.07141351989685,20.700836589855633,1.0,0.032501970320118485,-0.02643361939612987,0.0,speedbreaker,103.80625223632984,1600.0,450.0,1
1747503010.5749364,1699.6557940692958,487.4103786833452,20.676351336537405,1.0,0.03492797043211475,-0.02448525331823248,0.0,speedbreaker,102.85548432190402,1600.0,450.0,1
1747503010.5907674,1700.5540940391932,487.7489893212207,20.653737141478775,1.0,0.036943717287944614,-0.0226141950586225,0.0,speedbreaker,101.90483643376693,1600.0,450.0,1
