timestamp,lidar_points,camera_view
1747503010.174842,"[(-70.0, 180), (-64.16666666666666, 180), (-58.333333333333336, 180), (-52.5, 180), (-46.66666666666667, 180), (-40.83333333333333, 180), (-35.0, 180), (-29.166666666666664, 180), (-23.333333333333336, 180), (-17.5, 115.07767255735571), (-11.666666666666664, 78.90496323339816), (-5.833333333333336, 80.63790547718709), (0.0, 83.46562285601232), (5.833333333333329, 87.59057266536672), (11.666666666666671, 93.16258080936882), (17.5, 180), (23.33333333333333, 180), (29.16666666666667, 180), (35.0, 180), (40.83333333333333, 180), (46.66666666666667, 180), (52.5, 180), (58.33333333333333, 180), (64.16666666666667, 180), (70.0, 180)]",camera_frame_5.npy
1747503010.255245,"[(-70.0, 180), (-64.16666666666666, 180), (-58.333333333333336, 180), (-52.5, 180), (-46.66666666666667, 180), (-40.83333333333333, 180), (-35.0, 180), (-29.166666666666664, 180), (-23.333333333333336, 180), (-17.5, 95.54232049245496), (-11.666666666666664, 74.37905153496061), (-5.833333333333336, 76.13327644784754), (0.0, 78.66580107091282), (5.833333333333329, 82.35499252020477), (11.666666666666671, 87.36352435260409), (17.5, 180), (23.33333333333333, 180), (29.16666666666667, 180), (35.0, 180), (40.83333333333333, 180), (46.66666666666667, 180), (52.5, 180), (58.33333333333333, 180), (64.16666666666667, 180), (70.0, 180)]",camera_frame_10.npy
1747503010.335456,"[(-70.0, 180), (-64.16666666666666, 180), (-58.333333333333336, 180), (-52.5, 180), (-46.66666666666667, 180), (-40.83333333333333, 180), (-35.0, 180), (-29.166666666666664, 180), (-23.333333333333336, 180), (-17.5, 74.06152900147039), (-11.666666666666664, 69.74457042079527), (-5.833333333333336, 71.41894985840361), (0.0, 73.92582562659051), (5.833333333333329, 77.18412395220253), (11.666666666666671, 82.17566920864616), (17.5, 180), (23.33333333333333, 180), (29.16666666666667, 180), (35.0, 180), (40.83333333333333, 180), (46.66666666666667, 180), (52.5, 180), (58.33333333333333, 180), (64.16666666666667, 180), (70.0, 180)]",camera_frame_15.npy
1747503010.4148715,"[(-70.0, 180), (-64.16666666666666, 180), (-58.333333333333336, 180), (-52.5, 180), (-46.66666666666667, 180), (-40.83333333333333, 180), (-35.0, 180), (-29.166666666666664, 180), (-23.333333333333336, 180), (-17.5, 64.44481043178318), (-11.666666666666664, 65.14935143265076), (-5.833333333333336, 66.58635290058764), (0.0, 68.70987405830519), (5.833333333333329, 71.89850262280414), (11.666666666666671, 75.80067655169438), (17.5, 180), (23.33333333333333, 180), (29.16666666666667, 180), (35.0, 180), (40.83333333333333, 180), (46.66666666666667, 180), (52.5, 180), (58.33333333333333, 180), (64.16666666666667, 180), (70.0, 180)]",camera_frame_20.npy
1747503010.4946558,"[(-70.0, 180), (-64.16666666666666, 180), (-58.333333333333336, 180), (-52.5, 180), (-46.66666666666667, 180), (-40.83333333333333, 180), (-35.0, 180), (-29.166666666666664, 180), (-23.333333333333336, 180), (-17.5, 59.877220930623515), (-11.666666666666664, 60.40484031796147), (-5.833333333333336, 61.75585051269315), (0.0, 63.50785951368404), (5.833333333333329, 66.61730818609726), (11.666666666666671, 70.501654448056), (17.5, 180), (23.33333333333333, 180), (29.16666666666667, 180), (35.0, 180), (40.83333333333333, 180), (46.66666666666667, 180), (52.5, 180), (58.33333333333333, 180), (64.16666666666667, 180), (70.0, 180)]",camera_frame_25.npy
1747503010.575531,"[(-70.0, 180), (-64.16666666666666, 180), (-58.333333333333336, 180), (-52.5, 180), (-46.66666666666667, 180), (-40.83333333333333, 180), (-35.0, 180), (-29.166666666666664, 180), (-23.333333333333336, 180), (-17.5, 55.4047585380883), (-11.666666666666664, 55.862182931124494), (-5.833333333333336, 56.98823508085046), (0.0, 58.70889535181302), (5.833333333333329, 61.40023690396723), (11.666666666666671, 65.26425540010226), (17.5, 69.83449701971264), (23.33333333333333, 180), (29.16666666666667, 180), (35.0, 180), (40.83333333333333, 180), (46.66666666666667, 180), (52.5, 180), (58.33333333333333, 180), (64.16666666666667, 180), (70.0, 180)]",camera_frame_30.npy
1747503010.6556032,"[(-70.0, 180), (-64.16666666666666, 180), (-58.333333333333336, 180), (-52.5, 180), (-46.66666666666667, 180), (-40.83333333333333, 180), (-35.0, 180), (-29.166666666666664, 180), (-23.333333333333336, 50.89493663387992), (-17.5, 50.88704296176322), (-11.666666666666664, 51.31751016392398), (-5.833333333333336, 52.46219304473428), (0.0, 54.25012948096522), (5.833333333333329, 56.620415031506234), (11.666666666666671, 60.028871300274865), (17.5, 64.6363560423724), (23.33333333333333, 180), (29.16666666666667, 180), (35.0, 180), (40.83333333333333, 180), (46.66666666666667, 180), (52.5, 180), (58.33333333333333, 180), (64.16666666666667, 180), (70.0, 180)]",camera_frame_35.npy
1747503010.7353544,"[(-70.0, 180), (-64.16666666666666, 180), (-58.333333333333336, 180), (-52.5, 180), (-46.66666666666667, 180), (-40.83333333333333, 180), (-35.0, 180), (-29.166666666666664, 180), (-23.333333333333336, 46.440363518235664), (-17.5, 46.37272186619627), (-11.666666666666664, 46.77159175446943), (-5.833333333333336, 47.69417424816062), (0.0, 49.110963329801045), (5.833333333333329, 51.40495767473843), (11.666666666666671, 54.26833909290236), (17.5, 58.21568581281382), (23.33333333333333, 180), (29.16666666666667, 180), (35.0, 180), (40.83333333333333, 180), (46.66666666666667, 180), (52.5, 180), (58.33333333333333, 180), (64.16666666666667, 180), (70.0, 180)]",camera_frame_40.npy
1747503010.8165834,"[(-70.0, 180), (-64.16666666666666, 180), (-58.333333333333336, 180), (-52.5, 180), (-46.66666666666667, 180), (-40.83333333333333, 180), (-35.0, 180), (-29.166666666666664, 180), (-23.333333333333336, 41.933349028881985), (-17.5, 41.888893052945335), (-11.666666666666664, 42.22502766871973), (-5.833333333333336, 43.16590045571811), (0.0, 44.312171720375204), (5.833333333333329, 46.19426980811406), (11.666666666666671, 49.03387567528616), (17.5, 52.40926792442346), (23.33333333333333, 180), (29.16666666666667, 180), (35.0, 180), (40.83333333333333, 180), (46.66666666666667, 180), (52.5, 180), (58.33333333333333, 180), (64.16666666666667, 180), (70.0, 180)]",camera_frame_45.npy
1747503010.8953817,"[(-70.0, 180), (-64.16666666666666, 180), (-58.333333333333336, 180), (-52.5, 180), (-46.66666666666667, 180), (-40.83333333333333, 180), (-35.0, 180), (-29.166666666666664, 37.716826800354035), (-23.333333333333336, 37.381765095351625), (-17.5, 37.3739886889548), (-11.666666666666664, 37.678274486476504), (-5.833333333333336, 38.399084703081286), (0.0, 39.850174130480184), (5.833333333333329, 41.41103374688607), (11.666666666666671, 43.79977612021456), (17.5, 47.2088592831381), (23.33333333333333, 51.78457044225035), (29.16666666666667, 180), (35.0, 180), (40.83333333333333, 180), (46.66666666666667, 180), (52.5, 180), (58.33333333333333, 180), (64.16666666666667, 180), (70.0, 180)]",camera_frame_50.npy
